carbon,smiles,InChIKey,MolWt,LogP,TPSA,HBD,HBA,RotBonds,RingCount,HeavyAtom
ac_e,CC(=O)O,QTBSBXVTEAMEQO-UHFFFAOYSA-N,60.05200000000001,0.09089999999999993,37.3,1,1,0,0,4
ala__L_e,C[C@H](N)C(=O)O,QNAYBMKLOCPYGJ-REOHCLBHSA-N,89.09400000000001,-0.5817999999999999,63.31999999999999,2,2,1,0,6
arab__L_e,OC1OC[C@H](O)[C@H](O)[C@H]1O,SRBFZHDQGSBBOR-HWQSCIPKSA-N,150.13,-2.5823,90.15,4,5,0,1,10
arg__L_e,NC(N)=NCCC[C@H](N)C(=O)O,ODKSFYDXXFIFQN-BYPYZUCNSA-N,174.20399999999998,-1.548099999999999,127.71999999999998,4,3,5,0,12
asn__L_e,NC(=O)C[C@H](N)C(=O)O,DCXYFEDJOCDNAF-REOHCLBHSA-N,132.11899999999997,-1.7262999999999993,106.40999999999998,3,3,3,0,9
asp__L_e,N[C@@H](CC(=O)O)C(=O)O,CKLJMWTZIZZHCS-REOHCLBHSA-N,133.103,-1.1269999999999998,100.61999999999999,3,3,3,0,9
benzo_e,O=C([O-])c1ccccc1,WPYMKLBDIGXBTP-UHFFFAOYSA-M,121.11499999999997,0.05009999999999992,40.129999999999995,0,2,1,1,9
cellb_e,OC[C@H]1O[C@@H](O[C@H]2[C@H](O)[C@@H](O)C(O)O[C@@H]2CO)[C@H](O)[C@@H](O)[C@@H]1O,GUBGYTABKSRVRQ-CUHNMECISA-N,342.297,-5.397199999999994,189.52999999999997,8,11,4,2,23
coniferyl_e,COc1cc(/C=C/CO)ccc1O,JMFRWRFFLBVWSI-NSCUHMNNSA-N,180.20299999999997,1.4062999999999997,49.69,2,3,3,1,13
cys__L_e,N[C@@H](CS)C(=O)O,XUJNEKJLAYXESH-REOHCLBHSA-N,121.16099999999999,-0.6719,63.31999999999999,3,3,2,0,7
for_e,O=C[O-],BDAGIHXWWSANSR-UHFFFAOYSA-M,45.017,-1.6339000000000001,40.129999999999995,0,2,0,0,3
fru_e,OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O,LKDRXBCSQODPBY-VRPWFDPXSA-N,180.156,-3.219799999999999,110.38000000000001,5,6,1,1,12
gal_e,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,WQZGKKKJIJFFOK-SVZMEOIVSA-N,180.156,-3.2213999999999987,110.38000000000001,5,6,1,1,12
galur_e,O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O,AEMOLEFTQBMNLQ-YMDCURPLSA-N,194.13899999999998,-3.1290999999999984,127.45,5,6,1,1,13
glc__D_e,OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O,WQZGKKKJIJFFOK-GASJEMHNSA-N,180.156,-3.2213999999999987,110.38000000000001,5,6,1,1,12
glcn_e,O=C([O-])[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,RGHNJXZEOKUKBD-SQOUGZDYSA-M,195.147,-4.827799999999997,141.28,5,7,5,0,13
gln__L_e,NC(=O)CC[C@H](N)C(=O)O,ZDXPYRJPNDTMRX-VKHMYHEASA-N,146.146,-1.336199999999999,106.41,3,3,4,0,10
glu__L_e,N[C@@H](CCC(=O)O)C(=O)O,WHUUTDBJXJRKMK-VKHMYHEASA-N,147.13,-0.736899999999999,100.61999999999999,3,3,4,0,10
gly_e,NCC(=O)O,DHMQDGOQFOQNFH-UHFFFAOYSA-N,75.06700000000001,-0.9702999999999999,63.31999999999999,2,2,1,0,5
glyc_e,OCC(O)CO,PEDCQBHIVMGVHV-UHFFFAOYSA-N,92.09399999999998,-1.6681000000000001,60.69,3,3,2,0,6
his__L_e,N[C@@H](Cc1cnc[nH]1)C(=O)O,HNDVDQJCIGZPNO-YFKPBYRVSA-N,155.15699999999998,-0.6358999999999995,92.0,3,3,3,1,11
