carbon,smiles
ac_e,CC(=O)O
ala__L_e,C[C@@H](C(=O)O)N
arab__L_e,C1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O
arg__L_e,C(C[C@@H](C(=O)O)N)CN=C(N)N
asn__L_e,C([C@@H](C(=O)O)N)C(=O)N
asp__L_e,C([C@@H](C(=O)O)N)C(=O)O
benzo_e,C1=CC=C(C=C1)C(=O)[O-]
cellb_e,C([C@@H]1[C@H]([C@@H]([C@H]([C@@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
coniferyl_e,COC1=C(C=CC(=C1)/C=C/CO)O
cys__L_e,C([C@@H](C(=O)O)N)S
for_e,C(=O)[O-]
fru_e,C1[C@H]([C@H]([C@@H](C(O1)(CO)O)O)O)O
gal_e,C([C@@H]1[C@@H]([C@@H]([C@H](C(O1)O)O)O)O)O
galur_e,[C@@H]1([C@H]([C@H](OC([C@@H]1O)O)C(=O)O)O)O
glc__D_e,C([C@@H]1[C@H]([C@@H]([C@H](C(O1)O)O)O)O)O
glcn_e,C([C@H]([C@H]([C@@H]([C@H](C(=O)[O-])O)O)O)O)O
gln__L_e,C(CC(=O)N)[C@@H](C(=O)O)N
glu__L_e,C(CC(=O)O)[C@@H](C(=O)O)N
gly_e,C(C(=O)O)N
glyc_e,C(C(CO)O)O
his__L_e,C1=C(NC=N1)C[C@@H](C(=O)O)N
ile__L_e,CC[C@H](C)[C@@H](C(=O)O)N
inost_e,[C@H]1([C@@H]([C@@H]([C@H]([C@@H]([C@H]1OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)OP(=O)(O)O)O)O
leu__L_e,CC(C)C[C@@H](C(=O)O)N
lys__L_e,C(CCN)C[C@@H](C(=O)O)N
malt_e,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@H](OC([C@@H]([C@H]2O)O)O)CO)O)O)O)O
man_e,C([C@@H]1[C@H]([C@@H]([C@@H](C(O1)O)O)O)O)O
meoh_e,CO
met__L_e,CSCC[C@@H](C(=O)O)N
methylamine_e,CN
mnl_e,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O
orn__L_e,C(C[C@@H](C(=O)O)N)CN
oxal_e,C(=O)(C(=O)[O-])[O-]
phe__L_e,C1=CC=C(C=C1)C[C@@H](C(=O)O)N
pro__L_e,C1C[C@H](NC1)C(=O)O
pyr_e,CC(=O)C(=O)[O-]
ser__L_e,C([C@@H](C(=O)O)N)O
succ_e,C(CC(=O)[O-])C(=O)[O-]
sucr_e,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@]2([C@H]([C@@H]([C@H](O2)CO)O)O)CO)O)O)O)O
thr__L_e,C[C@H]([C@@H](C(=O)O)N)O
tre_e,C([C@@H]1[C@H]([C@@H]([C@H]([C@H](O1)O[C@@H]2[C@@H]([C@H]([C@@H]([C@H](O2)CO)O)O)O)O)O)O)O
trp__L_e,C1=CC=C2C(=C1)C(=CN2)C[C@@H](C(=O)O)N
tyr__L_e,C1=CC(=CC=C1C[C@@H](C(=O)O)N)O
val__L_e,CC(C)[C@@H](C(=O)O)N
xyl__D_e,C1[C@H]([C@@H]([C@H](C(O1)O)O)O)O
